CSV FILE VERSION : 3.0

!============================================================================= = 
!
!       Copyright  Siemens PLM Software Inc.
!                 All rights reserved
!
!==============================================================================
!
! This file contains the data which are exported from AFU records or XYPlot curves.
!
! The file can be edited with some rules. Please pay attention that any syntax
! violation will cause failure to read this data file.
!
! 1. The structure of this file CANNOT be CHANGED.
! 2. "!" is used as comment line syntax. Any words that are after "!" will be omitted.
! 3. Keyword is embraced with "%". Its value is allowed to be modified within a limitation.
!    The allowed values will be described at the above line for each Keyword.
!    Please pay attention that any invalid input will be omitted
!    and a default value will be set instead.
!The generic options for Function Type:
!General, Time, Cross Spectral Density (CSD), Frequency Response Function, Transmissibility, Power Spectral Density (PSD),
!Spectrum, Shock Response Spectrum, Temperature, Stress vs Strain, S-N Curve, Campbell Diagram, Timing chart,
!Stiffness and Damping, Fast RMS PSD Fit, Vehicle, Motion General

!The options for Frequency Band Summation:
!Octave, 1/3 Octave, 1/12 Octave

!The options for Axis Type:
!Linear, Log, dB, Octave, 1/3 Octave, 1/12 Octave

!The options for Abscissa Spacing:
!Even, Uneven

!The options for Complex Data Option:
!Real Only, Complex(Real/Imaginary), Complex(Magnitude/Phase).

!The options for Spectrum Scaling:
!Peak, RMS

!The options for Weighting:
!None, Weighting A, Weighting B, Weighting C, Weighting D, Weighting AB, Weighting BC

%Record Count%,3
%Record Name%,VELOCITY_PISTON->MAG_Velocity(abs),DISPLACEMENT_PISTON->MAG_Displacement(abs),ACCELERATION_PISTON->MAG_Acceleration(abs)
 , 
%Function Type%,General,General,General
 , 
%Abscissa Spacing%,Even
%Abscissa Axis Type%,Linear
%Abscissa Measure%,Time
%Abscissa Unit%,sec
%Abscissa Axis Label%,Time(sec)
 , 
%Complex Data Option%,Real Only
%Ordinate Axis Type%,Linear,Linear,Linear
%Ordinate Measure%,Velocity,Length,Acceleration
%Ordinate Unit%,mm/sec,mm,mm/sec^2
%Ordinate Axis Label%,Velocity(mm/sec),Length(mm),Acceleration(mm/sec^2)
 , 

#X,VELOCITY_PISTON->MAG_Velocity(abs),DISPLACEMENT_PISTON->MAG_Displacement(abs),ACCELERATION_PISTON->MAG_Acceleration(abs)
# ,Real,Real,Real
0.000000E+00,2.975027E-11,205.171272,2657201.171875
1.000000E-04,2.656853E+02,205.158189,2656223.388672
2.000000E-04,5.311627E+02,205.118880,2653288.818359
3.000000E-04,7.962453E+02,205.053374,2648401.855469
4.000000E-04,1.060742E+03,204.961747,2641564.453125
5.000000E-04,1.324457E+03,204.844072,2632783.447266
6.000000E-04,1.587211E+03,204.700395,2622065.917969
7.000000E-04,1.848802E+03,204.530835,2609420.410156
8.000000E-04,2.109033E+03,204.335541,2594858.398438
9.000000E-04,2.367710E+03,204.114631,2578391.113281
1.000000E-03,2.624650E+03,203.868300,2560033.447266
1.100000E-03,2.879656E+03,203.596711,2539800.292969
1.200000E-03,3.132548E+03,203.300074,2517709.472656
1.300000E-03,3.383136E+03,202.978611,2493779.296875
1.400000E-03,3.631244E+03,202.632561,2468031.005859
1.500000E-03,3.876683E+03,202.262163,2440486.328125
1.600000E-03,4.119282E+03,201.867729,2411170.166016
1.700000E-03,4.358859E+03,201.449513,2380107.177734
1.800000E-03,4.595247E+03,201.007858,2347326.171875
1.900000E-03,4.828268E+03,200.543061,2312855.224609
2.000000E-03,5.057764E+03,200.055510,2276726.562500
2.100000E-03,5.283559E+03,199.545518,2238971.923828
2.200000E-03,5.505506E+03,199.013487,2199626.708984
2.300000E-03,5.723433E+03,198.459804,2158726.562500
2.400000E-03,5.937197E+03,197.884887,2116309.814453
2.500000E-03,6.146647E+03,197.289154,2072416.992188
2.600000E-03,6.351634E+03,196.673036,2027090.209961
2.700000E-03,6.552016E+03,196.036994,1980369.628906
2.800000E-03,6.747672E+03,195.381492,1932305.297852
2.900000E-03,6.938428E+03,194.707125,1882942.993164
3.000000E-03,7.124191E+03,194.014311,1832330.444336
3.100000E-03,7.304832E+03,193.303525,1780518.432617
3.200000E-03,7.480234E+03,192.575291,1727558.959961
3.300000E-03,7.650285E+03,191.830128,1673505.859375
3.400000E-03,7.814885E+03,191.068485,1618413.818359
3.500000E-03,7.973929E+03,190.290943,1562339.965820
3.600000E-03,8.127321E+03,189.498082,1505343.505859
3.700000E-03,8.274970E+03,188.690498,1447484.863281
3.800000E-03,8.416794E+03,187.868774,1388825.805664
3.900000E-03,8.552713E+03,187.033504,1329429.199219
4.000000E-03,8.682658E+03,186.185271,1269359.375000
4.100000E-03,8.806566E+03,185.324669,1208682.250977
4.200000E-03,8.924379E+03,184.452310,1147464.111328
4.300000E-03,9.036045E+03,183.568791,1085773.193359
4.400000E-03,9.141521E+03,182.674736,1023677.734375
4.500000E-03,9.240771E+03,181.770772,961247.924805
4.600000E-03,9.333764E+03,180.857509,898553.466797
4.700000E-03,9.420477E+03,179.935575,835665.893555
4.800000E-03,9.500895E+03,179.005578,772655.883789
4.900000E-03,9.575008E+03,178.068161,709596.069336
5.000000E-03,9.642817E+03,177.123964,646557.189941
5.100000E-03,9.704322E+03,176.173717,583614.074707
5.200000E-03,9.759539E+03,175.217971,520836.364746
5.300000E-03,9.808491E+03,174.257323,458295.806885
5.400000E-03,9.851202E+03,173.292384,396063.232422
5.500000E-03,9.887711E+03,172.323748,334208.374023
5.600000E-03,9.918054E+03,171.352044,272802.246094
5.700000E-03,9.942284E+03,170.377880,211910.903931
5.800000E-03,9.960454E+03,169.401839,151605.514526
5.900000E-03,9.972623E+03,168.424547,91946.853638
6.000000E-03,9.978871E+03,167.446569,33006.072998
6.100000E-03,9.979241E+03,166.468486,25161.077499
6.200000E-03,9.973863E+03,165.490896,82488.441467
6.300000E-03,9.962787E+03,164.514348,138919.540405
6.400000E-03,9.946114E+03,163.539395,194397.430420
6.500000E-03,9.923944E+03,162.566587,248867.904663
6.600000E-03,9.896379E+03,161.596373,302280.212402
6.700000E-03,9.863527E+03,160.629287,354585.235596
6.800000E-03,9.825503E+03,159.665912,405736.419678
6.900000E-03,9.782425E+03,158.706769,455690.277100
7.000000E-03,9.734411E+03,157.752350,504406.768799
7.100000E-03,9.681589E+03,156.803116,551849.182129
7.200000E-03,9.624088E+03,155.859545,597983.825684
7.300000E-03,9.562041E+03,154.922083,642780.517578
7.400000E-03,9.495582E+03,153.991163,686212.646484
7.500000E-03,9.424849E+03,153.067216,728256.408691
7.600000E-03,9.349981E+03,152.150661,768892.272949
7.700000E-03,9.271121E+03,151.241869,808103.637695
7.800000E-03,9.188413E+03,150.341228,845877.807617
